,ISBN,bookAuthor,category,yearOfPublication,publisher,bookTitle,imageUrlS,imageUrlM,imageUrlL
11,553582909,Dean R. Koontz,popularization of science,2000,Bantam Books,Icebound,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
12,671888587,Mary Higgins Clark,popularization of science,1994,Pocket,I'll Be Seeing You,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
13,553582747,Dean Koontz,popularization of science,2001,Bantam Books,From the Corner of His Eye,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
14,425182908,Patricia Cornwell,popularization of science,2002,Berkley Publishing Group,Isle of Dogs,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
15,042518630X,J.D. Robb,popularization of science,2002,Berkley Publishing Group,Purity in Death,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
16,440225701,JOHN GRISHAM,popularization of science,1999,Dell,The Street Lawyer,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
17,042511774X,Anne Tyler,popularization of science,1994,Berkley Publishing Group,Breathing Lessons,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
18,804106304,Amy Tan,popularization of science,1994,Prentice Hall (K-12),The Joy Luck Club,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
19,140067477,Benjamin Hoff,popularization of science,1983,Penguin Books,The Tao of Pooh,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
20,345465083,LAURA HILLENBRAND,popularization of science,2003,Ballantine Books,Seabiscuit,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
21,316769487,J.D. Salinger,popularization of science,1991,"Little, Brown",The Catcher in the Rye,http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
22,679429220,John Berendt,popularization of science,1994,Random House,Midnight in the Garden of Good and Evil: A Savannah Story,http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
23,671867156,Mary Higgins Clark,popularization of science,1998,Pocket,Pretend You Don't See Her,http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
24,312252617,Jennifer Crusie,popularization of science,2001,St. Martin's Press,Fast Women,http://images.amazon.com/images/P/0312252617.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
25,451166892,Ken Follett,popularization of science,1996,Signet Book,The Pillars of the Earth,http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
26,786868716,Mitch Albom,popularization of science,2003,Hyperion,The Five People You Meet in Heaven,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
27,446608653,Sandra Brown,popularization of science,2000,Warner Books,The Alibi,http://images.amazon.com/images/P/0446608653.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg
28,446612545,James Patterson,popularization of science,2003,Warner Books,The Beach House,http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
29,671027360,Dan Brown,popularization of science,2001,Pocket Star,Angels &amp; Demons,http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
30,671042858,Stephen King,popularization of science,2000,Pocket,The Girl Who Loved Tom Gordon,http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
31,60976845,Rebecca Wells,popularization of science,1996,Perennial,Little Altars Everywhere: A Novel,http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
32,671004573,Mary Higgins Clark,popularization of science,2001,Pocket,Before I Say Good-Bye,http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
33,446601640,Robert James Waller,popularization of science,1994,Warner Books,Slow Waltz in Cedar Bend,http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg
34,038572179X,IAN MCEWAN,popularization of science,2003,Anchor,Atonement : A Novel,http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
35,380778556,Daphne Du Maurier,popularization of science,1994,Avon,Rebecca,http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg
36,505524996,Susan Grant,popularization of science,2002,Love Spell,Contact,http://images.amazon.com/images/P/0505524996.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg
37,446527165,David Baldacci,popularization of science,2000,Warner Books,Wish You Well,http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
38,671461494,Douglas Adams,novel,1982,Pocket,The Hitchhiker's Guide to the Galaxy,http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg
39,330332775,Helen Fielding,novel,1997,Picador (UK),Bridget Jones's Diary,http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
40,60977493,Arundhati Roy,novel,1998,Perennial,The God of Small Things,http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
41,316693006,James Patterson,novel,2002,"Little, Brown",Four Blind Mice,http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg
42,345378490,Michael Crichton,novel,1995,Ballantine Books,Congo,http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg
43,375705856,KENT HARUF,novel,2000,Vintage,Plainsong (Vintage Contemporaries),http://images.amazon.com/images/P/0375705856.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg
44,380717018,Patricia D. Cornwell,novel,1992,Avon,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg
45,380718332,Patricia D. Cornwell,novel,1993,Avon,All That Remains (Kay Scarpetta Mysteries (Paperback)),http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg
46,385497466,JOHN GRISHAM,novel,2000,Doubleday,The Brethren,http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg
47,385508042,John Grisham,novel,2003,Doubleday Books,The King of Torts,http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg
48,385511612,John Grisham,novel,2003,Doubleday,Bleachers,http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
49,385730586,ANN BRASHARES,history,2003,Delacorte Books for Young Readers,Sisterhood of the Traveling Pants,http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg
50,446605484,James Patterson,history,2001,Warner Vision,Roses Are Red (Alex Cross Novels),http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
51,446610399,Nicholas Sparks,history,2001,Warner Books,The Rescue,http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg
52,451162072,Stephen King,history,1994,Signet Book,Pet Sematary,http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg
53,452282152,Tracy Chevalier,history,2001,Plume Books,Girl with a Pearl Earring,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
54,671027387,Dan Brown,history,2002,Pocket,Deception Point,http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg
55,684848783,Frank McCourt,history,1999,Scribner,Tis : A Memoir,http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg
56,743486226,Dan Brown,history,2003,Atria,Angels &amp; Demons,http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
57,155874262X,Jack Canfield,history,1993,Health Communications,Chicken Soup for the Soul (Chicken Soup for the Soul),http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg
58,60987103,Gregory Maguire,history,1996,Regan Books,Wicked: The Life and Times of the Wicked Witch of the West,http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
59,151008116,Yann Martel,history,2002,Harcourt,Life of Pi,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
60,804111359,DONNA TARTT,history,1993,Ballantine Books,Secret History,http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg
61,1558744150,Jack Canfield,history,1996,Health Communications,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg
62,375823352,PHILIP PULLMAN,history,2002,Knopf Books for Young Readers,"The Amber Spyglass (His Dark Materials, Book 3)",http://images.amazon.com/images/P/0375823352.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375823352.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375823352.01.LZZZZZZZ.jpg
63,037582345X,PHILIP PULLMAN,history,2002,Knopf Books for Young Readers,"The Golden Compass (His Dark Materials, Book 1)",http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg
64,375823468,PHILIP PULLMAN,history,2002,Knopf Books for Young Readers,"The Subtle Knife (His Dark Materials, Book 2)",http://images.amazon.com/images/P/0375823468.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375823468.01.LZZZZZZZ.jpg
65,451526341,George Orwell,history,2004,Signet,Animal Farm,http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
66,374270325,Tom Wolfe,history,1998,Farrar Straus &amp; Giroux,A Man in Full,http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg
67,044023722X,John Grisham,history,2001,Dell Publishing Company,A Painted House,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
68,60977477,Sebastian Junger,history,1999,Perennial,The Perfect Storm : A True Story of Men Against the Sea,http://images.amazon.com/images/P/0060977477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060977477.01.LZZZZZZZ.jpg
69,380730138,A. Manette Ansay,history,1998,Perennial,Vinegar Hill (Oprah's Book Club (Paperback)),http://images.amazon.com/images/P/0380730138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg
70,425120279,Tom Clancy,history,1990,Berkley Publishing Group,The Hunt for Red October,http://images.amazon.com/images/P/0425120279.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425120279.01.LZZZZZZZ.jpg
71,142001740,Sue Monk Kidd,history,2003,Penguin Books,The Secret Life of Bees,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
72,312995423,Dan Brown,history,2003,St. Martin's Press,Digital Fortress : A Thriller,http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
73,385416342,John Grisham,history,1991,Doubleday Books,The Firm,http://images.amazon.com/images/P/0385416342.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385416342.01.LZZZZZZZ.jpg
74,038542471X,John Grisham,history,1993,Doubleday Books,The Client,http://images.amazon.com/images/P/038542471X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038542471X.01.LZZZZZZZ.jpg
75,515128554,Nora Roberts,history,2000,Jove Books,Heart of the Sea (Irish Trilogy),http://images.amazon.com/images/P/0515128554.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515128554.01.LZZZZZZZ.jpg
76,156528207,Antoine de Saint-Exup̩ry,history,1968,Harcourt,The Little Prince,http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
77,671867113,Mary Higgins Clark,history,1997,Pocket,Moonlight Becomes You,http://images.amazon.com/images/P/0671867113.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867113.01.LZZZZZZZ.jpg
78,006101351X,Sebastian Junger,history,1998,HarperTorch,The Perfect Storm : A True Story of Men Against the Sea,http://images.amazon.com/images/P/006101351X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006101351X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006101351X.01.LZZZZZZZ.jpg
79,316666343,Alice Sebold,history,2002,"Little, Brown",The Lovely Bones: A Novel,http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
80,440224675,Thomas Harris,history,2000,Dell Publishing Company,Hannibal,http://images.amazon.com/images/P/0440224675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg
81,553569058,Margaret Atwood,economics,1995,Bantam,The Robber Bride,http://images.amazon.com/images/P/0553569058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553569058.01.LZZZZZZZ.jpg
82,044021145X,John Grisham,economics,1992,Bantam Dell Publishing Group,The Firm,http://images.amazon.com/images/P/044021145X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044021145X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg
83,345424719,JOHN IRVING,economics,1999,Ballantine Books,A Widow for One Year,http://images.amazon.com/images/P/0345424719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
84,375726403,Richard Russo,economics,2002,Vintage Books USA,Empire Falls,http://images.amazon.com/images/P/0375726403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
85,385503857,Margaret Atwood,economics,2003,Nan A. Talese,Oryx and Crake,http://images.amazon.com/images/P/0385503857.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503857.01.LZZZZZZZ.jpg
86,440226104,ANNA QUINDLEN,economics,1999,Dell,Black and Blue,http://images.amazon.com/images/P/0440226104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg
87,671021001,Wally Lamb,economics,1998,Pocket,She's Come Undone (Oprah's Book Club),http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
88,805063897,Barbara Ehrenreich,economics,2002,Owl Books,Nickel and Dimed: On (Not) Getting By in America,http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
89,671002481,Olivia Goldsmith,economics,1996,Pocket,The First Wives Club Movie Tie In,http://images.amazon.com/images/P/0671002481.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671002481.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671002481.01.LZZZZZZZ.jpg
90,842329129,Tim Lahaye,economics,1996,Tyndale House Publishers,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),http://images.amazon.com/images/P/0842329129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg
91,743424425,Stephen King,economics,2001,Pocket,The Shining,http://images.amazon.com/images/P/0743424425.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743424425.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743424425.01.LZZZZZZZ.jpg
92,786868015,Joyce Reardon,economics,2001,Hyperion,The Diary of Ellen Rimbauer: My Life at Rose Red,http://images.amazon.com/images/P/0786868015.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786868015.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786868015.01.LZZZZZZZ.jpg
93,60915544,Barbara Kingsolver,economics,1989,Perennial,The Bean Trees,http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
94,312195516,Anita Diamant,economics,1998,Picador USA,The Red Tent (Bestselling Backlist),http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
95,039914739X,Patricia Daniels Cornwell,economics,2001,Putnam Publishing Group,Isle of Dogs,http://images.amazon.com/images/P/039914739X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039914739X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039914739X.01.LZZZZZZZ.jpg
